id,job_title,company_name,location,salary,apply_link,skills,is_active,chunk_text
2293,Sr Product Designer,Adobe,Bangalore,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Bangalore/Sr-Product-Designer_R167937,,1,"Senior Product Designer at Adobe in the Digital – Advertising, Learning & Publishing (D-ALP) domain. Required skills include expertise in user-centered design principles, experience with AI-driven design tools, and hands-on experience with emerging technologies. Candidates should have 8+ years of product design experience and an advanced degree in HCI or a related field. Key responsibilities involve defining core product experiences, mentoring designers, and integrating Generative AI into design processes. Preferred qualifications include strong collaboration skills across design, product, engineering, and research, as well as the ability to articulate design rationale and trade-offs effectively."
2294,Senior Customer Strategy and Success Specialist,Adobe,San Francisco,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Francisco/Senior-Customer-Strategy-and-Success-Specialist_R169792,,1,"Senior Customer Strategy and Success Specialist at Adobe in the SaaS and document management industry. Required technical skills include experience with enterprise SaaS solutions, document workflows, and visual communication tools. Candidates should have 10+ years of experience in a customer-facing role, ideally within enterprise SaaS or the design/creative industry. Key responsibilities involve collaborating with enterprise customers to enhance productivity through Adobe Express and Acrobat Studio, developing targeted adoption strategies, and leading executive-level business reviews. Preferred qualifications include a blend of customer success, business development, and solution consulting skills, along with exceptional presentation and storytelling abilities."
2295,"Dir, Accounting",Adobe,San Jose,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/Dir--Accounting_R169584,,1,"Director of Accounting, Senior Leadership Level at Adobe, Technology Industry. Required technical skills include expertise in ASC 606, U.S. GAAP, and royalty accounting. A minimum of 10 years of experience in accounting is required. Key responsibilities include leading and developing a high-performing accounting team of 20+ professionals, overseeing royalty expense and revenue accounting, and managing complex strategic deal accounting. The ideal candidate is an active CPA with a strong commercial instinct for evaluating strategic transactions and a proven track record in managing large accounting teams. Preferred qualifications include experience in cross-functional collaboration with Revenue Assurance, Legal, Business Development, FP&A, Tax, and IT."
2296,Principal Applied Researcher,Adobe,San Jose,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/Principal-Applied-Researcher_R167861,,1,"Principal Applied Researcher at Adobe in the AI industry. Required technical skills include strong programming proficiency and experience with ML frameworks such as PyTorch, TensorFlow, or JAX, as well as familiarity with modern ML architectures like transformers, diffusion models, and GANs. Candidates should have experience with cloud platforms, MLOps, and deploying ML systems in production at scale. A Master's or PhD in Computer Science, Computer Engineering, Data Science, Machine Learning, or a related field is required, along with relevant experience. Key responsibilities involve building innovative machine learning models for generative AI scenarios, developing advanced ML models in computer vision, NLP, and multimodal learning, and driving the end-to-end ML lifecycle. Preferred qualifications include experience with Large Language Models, agent-based systems, and publications in renowned ML/CV/AI conferences."
2297,Senior AI Platform Engineer,Adobe,San Jose,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/Senior-AI-Platform-Engineer_R165968-1,,1,"Senior AI Platform Engineer at Adobe in the technology industry. Required technical skills include proficiency in TypeScript, Python, and at least one systems language (Java, Go, C++). Candidates should have 10+ years of experience building large-scale distributed systems, AI platforms, or intelligent service architectures. Key responsibilities involve designing and implementing scalable orchestration layers for LLMs, building production-grade agent frameworks, and developing high-performance inference systems. The role also includes integrating first-party and third-party foundation models and driving architectural strategy for AI for Engineering. Preferred qualifications include a deep understanding of LLM behavior in production, experience with AI-powered systems using orchestration frameworks, and expertise in designing evaluation systems for generative AI quality."
2299,Enterprise Sales Account Manager,Adobe,Bangalore,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Bangalore/Enterprise-Sales-Account-Manager_R169699,,1,"Enterprise Sales Account Manager at Adobe in the technology industry. Requires 10-15 years of relevant experience in enterprise sales, preferably within the tech or software sector. Key responsibilities include driving revenue growth by delivering against targets in Named Enterprise Accounts, developing strategic account plans, and proactively identifying new business opportunities. Candidates should demonstrate a strong ability to build relationships with key stakeholders, manage a robust sales pipeline, and collaborate cross-functionally with teams such as Customer Success Managers and Solution Consultants. Preferred qualifications include a strategic outlook, strong analytical skills, and a customer-centric focus."
2300,Apps/Sys Engineer - Pre-Sales,Adobe,Noida,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Noida/Apps-Sys-Engineer---Pre-Sales_R169210,,1,"Role title: Technical Architect - Pre-Sales  
Company name: Adobe  
Domain/Industry: Software/Technology  

Required technical skills and tools: JavaScript, TypeScript, Python, Java, Node.js, APIs, microservices, cloud-native architectures, AI/ML concepts, Generative AI, Large Language Models (LLMs), AI-assisted development tools (Claude, Cursor, MCPs), vector databases, RAG architectures, AWS, Microsoft Azure, Google Cloud Platform.  

Years of experience required: Not specified, but experience designing and developing enterprise-scale applications is necessary.  

Key responsibilities: Design and develop scalable demo environments, POCs, and Hands-On Labs for Adobe Experience Cloud solutions. Create end-to-end technical solutions integrating Adobe products, AI capabilities, APIs, and third-party platforms.  

Preferred/bonus qualifications: Experience with Adobe Experience Cloud solutions."
2301,Sr Site Reliability Engineer,Adobe,Bucharest,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Bucharest/Sr-Site-Reliability-Engineer_R167992,,1,"Sr Site Reliability Engineer at Adobe in the technology industry. Required technical skills include experience with cloud service providers Microsoft Azure and Amazon AWS, scripting, CI/CD systems, Linux, networking, containerization, REST-based APIs, Kubernetes, and API Gateways. Proficiency in Python, Golang, or similar programming languages is also necessary. The role requires 5+ years of experience in software engineering, site reliability engineering, release engineering, and/or configuration management. Key responsibilities involve improving monitoring and alerting for Adobe’s API Gateway and cluster networking infrastructure, leading network debugging during critical events, and developing infrastructure-level components for Adobe’s compute environments. Preferred qualifications include the ability to coordinate technical requirements documents, code reviews, service deployments, and project plans."
2303,Labor Relations Consultant,Adobe,Munich,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Munich/Labor-Relations-Consultant_R169684,,1,"Labor Relations Consultant at Adobe, a technology company in the software industry. Required skills include comprehensive knowledge of German labor laws and employment regulations, experience working with Works Councils, and strong stakeholder management abilities. Candidates should have significant experience in labor relations, particularly in Germany, and be proficient in both German and English. Key responsibilities involve building relationships with the German Works Council, managing consultation processes, negotiating agreements, and advising on employee relations issues. Preferred qualifications include a collaborative approach, strong influencing skills, and the ability to work in a fast-paced, matrixed environment."
2304,Sr. Cloud Platform Engineer,Adobe,San Jose,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/Production-Service-Engineer-3_R163693,,1,"Role title: Sr. Cloud Platform Engineer  
Company name: Adobe  
Required technical skills: In-depth experience with Unix/Linux servers (RHEL, CentOS, SUSE), proficiency in scripting (Bash, Python), automation tools (Ansible), networking knowledge (TCP/IP, DNS, SSH), virtual machine management (VmWare, OpenShift), system security best practices.  
Years of experience required: Not specified, but significant experience implied.  
Key responsibilities: Responsible for daily administration of Linux/Unix servers, including system monitoring, software/hardware support, and application support. Maintain system documentation and assist application administrators in optimizing applications.  
Preferred qualifications: Operational experience with Ansible and Terraform is beneficial."
2305,Creator Evangelist,Adobe,Remote California,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Remote-California/Creator-Evangelist_R169146,,1,"Creator Evangelist at Adobe, a leader in creative software. Required skills include expertise in Adobe tools (Express, Premiere Pro, Photoshop, Illustrator), Firefly, and generative AI. Candidates should have 8+ years of experience in content creation and community engagement. Key responsibilities involve empowering creators through actionable social media strategies, mentoring, and building relationships within the creator community. The role also includes acting as a product-community liaison to advocate for creator feedback and monitor trends in the creator economy. A BA/BS degree is preferred."
2306,Senior Software Development Engineer - Developer Productivity,Adobe,San Jose,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/Senior-Software-Development-Engineer---Photoshop-CI-CD-Infrastructure_R169236,,1,"Senior Software Development Engineer - Developer Productivity at Adobe in the software industry. Required technical skills include CI/CD, AWS, GO Lang, Python, and Groovy. A minimum of 10 years of software development experience is required. Key responsibilities involve architecting and implementing CI/CD and AI Factory automation infrastructure, integrating LLM capabilities for auto-diagnosing failures, and designing cloud-based CI capacity on AWS. The role also includes leading code and design reviews, mentoring peers on CI/CD best practices, and influencing cross-team collaboration. Preferred qualifications include experience with macOS platform specifics and a strong background in building complex systems from scratch."
2307,"Senior Manager, Analytics Business Partnering, India",Adobe,Bangalore,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Bangalore/Senior-Manager--Advanced-People-Analytics---Reporting_R169338,,1,"Senior Manager, Analytics Business Partnering, India at Adobe in the technology industry. Required technical skills include proficiency in people analytics, HR strategy, statistical methods, quantitative analysis, and data storytelling. The role requires 10+ years of experience in People Analytics or a related field, with at least 2-3 years in a leadership position. Key responsibilities include building trusted relationships with senior leaders to drive people insights for strategic decisions and leading a team of analysts to deliver high-quality analyses that address complex business challenges. Preferred qualifications include a deep understanding of the HR landscape and workforce trends, as well as the ability to incorporate AI into analytics work while ensuring ethical use of people data."
2308,Senior Budget & Planning Manager,Adobe,London,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/London/Senior-Budget---Planning-Manager_R169639,,1,"Senior Budget & Planning Manager at Adobe in the technology industry. Required skills include strong Excel (modeling, Power Query, dynamic arrays, scenario building) and Power BI (data modeling, semantic models, executive-ready dashboards) skills, along with experience in marketing finance, marketing operations, FP&A, or commercial finance. Candidates should have experience working across multiple international regions and leading a small team. The role requires designing scalable planning, forecasting, and reporting solutions, directing the international marketing budget across EMEA, LATAM, and APAC, and implementing AI-powered workflows. Preferred qualifications include experience with Anaplan, SAP, Workfront, or similar platforms, and experience partnering with corporate functions or multinational teams. A thoughtful approach to data governance and clear communication with senior partners is essential."
2309,Senior Software Engineer - Backend,Adobe,San Jose,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/Senior-Software-Engineer---Backend_R169450,,1,"Senior Software Engineer - Backend at Adobe in the technology industry. Required technical skills include strong hands-on experience with Node.js/Typescript, expertise in Kubernetes, and familiarity with Postgres, Redis, Terraform, AWS, bash, and CI/CD tools like CircleCI. The role requires 5-10 years of backend software development experience. Key responsibilities involve collaboratively writing scalable, resilient HTTP APIs for Project Graph and contributing to an async job scheduling system built on Kubernetes and Postgres. Preferred qualifications include expertise in HTTP API security and a demonstrated ability to learn new technologies."
2310,Sr. Software Engineer - 3D Workflows,Adobe,San Francisco,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Francisco/Sr-Software-Engineer_R169112,,1,"Sr. Software Engineer - 3D Workflows at Adobe in the technology industry. Required technical skills include experience with 3D graphics production, asset interchange formats (USD/OpenUSD, GLB/glTF, FBX), and rendering workflows. Proficiency in programming languages such as TypeScript/Node.js, Go, Python, and C++, as well as browser-based development frameworks like React and Svelte is essential. A bachelor's degree in computer science or a related field is required, along with experience in building scalable 3D asset workflows and distributed systems on Kubernetes, AWS, and Microsoft Azure. Key responsibilities involve designing and deploying 3D-centric web interfaces, developing 3D pipelines, and ensuring system performance through monitoring. Preferred qualifications include familiarity with USD scene graph concepts and a passion for learning across all system aspects."
2311,Sr. Analyst Quota Review and Planning Analytics,Adobe,San Jose,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/Sr-Analyst-Quata-Review-and-Planning-Analytics_R169467,,1,"Role title: Senior Analyst – Quota Governance, Sales Compensation & Performance Analytics  
Company name: Adobe  
Industry: Software  

Required technical skills and tools: Quota planning methodologies, sales performance management, compensation administration, CRM platforms (Salesforce), sales planning tools (Anaplan, Xactly, Varicent, CaptivateIQ), data visualization tools (Tableau, Power BI)  
Years of experience required: 7+ years  

Key responsibilities: Lead the design and evolution of quota-setting methodologies and governance standards across sales organizations. Own annual and mid-year quota review processes, ensuring alignment with business priorities and market dynamics.  

Preferred qualifications: Bachelor's degree in business, Finance, Economics, Statistics, Analytics, Mathematics, or a related discipline; advanced analytical and problem-solving skills; experience leading quota review cycles and executive-level business reviews."
2312,Forward-Deployed AI Engineer - Marketing Analytics & Data Science,Adobe,San Jose,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/Forward-Deployed-AI-Engineer---Marketing-Analytics---Data-Science_R169366-1,,1,"Forward-Deployed AI Engineer - Senior Level at Adobe in the Marketing Analytics & Data Science domain. Required technical skills include expertise in AI development platforms (e.g., Claude Code, Cursor, agent frameworks, API integrations, Azure, AWS), proficiency in Python, SQL, and at least one additional programming language. Candidates should have a minimum of 8 years of technical experience, with at least 2 years focused on building and deploying AI applications. Key responsibilities involve collaborating with marketing teams to build tools and automations that enhance workflows and sharing insights across the AI Strategy & Innovation team. Preferred qualifications include direct experience in a marketing department, a background in machine learning for marketing use cases, familiarity with Adobe's marketing technology ecosystem, and experience in creating sustainable internal tools or playbooks."
2313,Senior Product Manager (Enterprise Platform),Adobe,Bangalore,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Bangalore/Senior-Product-Manager_R169376,,1,"Senior Product Manager (Enterprise Platform) at Adobe in the technology industry. Required technical skills include experience in product management, data analysis, and familiarity with AI tools for product management workflows. Candidates should have 4-6+ years of product management experience, with a focus on enterprise-level storage solutions and user experience features. Key responsibilities involve defining and owning the platform capability vision and strategy for enterprise-grade storage, making tradeoffs across quality and customer value, and collaborating with cross-functional teams to launch product features. A bachelor's degree is required, while an MBA or master's degree in a related field is preferred."
2314,Machine Learning Engineer 4,Adobe,Bangalore,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Bangalore/Machine-Learning-Engineer-4_R168142-1,,1,"Machine Learning Engineer 4 at Adobe in the technology industry. Required technical skills include strong programming expertise in Python and hands-on experience with PyTorch or TensorFlow. The role requires 8+ years of professional experience in building and deploying machine learning solutions at scale. Key responsibilities involve building and training deep learning models from scratch, managing the entire model lifecycle, and optimizing feature pipelines on Databricks and Spark. The engineer will also contribute to MLOps practices and collaborate with cross-functional teams. Preferred qualifications include experience in fraud detection, anomaly detection, or behavioral modeling, and exposure to Adobe Experience Platform (AEP) or other large-scale SaaS ecosystems."
2315,Forward-Deployed AI Engineer,Adobe,San Jose,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/Forward-Deployed-AI-Engineer_R168316-1,,1,"Forward-Deployed AI Engineer at Adobe in the marketing technology industry. Requires 5+ years of technical experience and 2+ years in building and deploying AI applications. Key technical skills include expertise in AI development platforms (e.g., Claude Code, Cursor, agent frameworks, API integrations, Azure, AWS), proficiency in Python, SQL, and at least one additional programming language. Responsibilities include collaborating with marketing teams to build tools and automations that enhance workflows and sharing innovations across the AI Strategy & Innovation team. Preferred qualifications include direct experience in a marketing department, a background in machine learning for marketing use cases, familiarity with Adobe's marketing technology ecosystem, and experience in building sustainable internal tools or playbooks."
2316,"Sr. Manager, Buy Desk",Adobe,Bangalore,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Bangalore/Sr-Manager--Buy-Desk_R169489-1,,1,"Sr. Manager, Buy Desk at Adobe in the digital marketing industry. Required technical skills include extensive knowledge of paid social and programmatic media buying, with experience on platforms such as DV360, AdCloud, The Trade Desk, and Yahoo DSP. Candidates should have over 10 years of experience in managing global media campaigns. Key responsibilities involve leading the global media buying strategy across social and programmatic channels, mentoring regional Pod Leaders, and developing frameworks for optimization and reporting. Preferred qualifications include advanced degrees or skills in media strategy and technology-based innovation."
2317,Regional Manager - Licensing Management,Adobe,Mumbai,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Mumbai/Regional-Manager---Licensing-Management_R169542-1,,1,"Regional Manager - Licensing Management at Adobe in the software industry. Required technical skills include knowledge of software licensing models, compliance methodologies, and experience with software tools for compliance reviews. Candidates should have 10+ years of experience in a similar license compliance role, preferably in a software company or Big 4 consulting. Key responsibilities involve performing software license reviews and audits, driving license reviews to completion, and providing licensing education to customers. The role requires strong analytical skills, the ability to manage projects, and effective communication with executive teams. Preferred qualifications include a degree and solid expertise in intellectual property and software licensing."
2318,Sr Solutions Consultant,Adobe,Mumbai,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Mumbai/Sr-Solutions-Consultant_R168844,,1,"Sr Solutions Consultant at Adobe in the eCommerce industry. Required technical skills include hands-on experience with Adobe Commerce, understanding of commerce architecture blueprints, and integration with enterprise systems. Candidates should have 8+ years of experience in presales or consulting for B2C and/or B2B commerce. Key responsibilities involve leading discovery and solutioning, delivering tailored demonstrations, running proof-of-concepts, and building technical cases. Preferred qualifications include experience with Adobe Commerce as a Cloud Service, familiarity with headless commerce, and knowledge of integrating with enterprise martech or CX stacks such as Adobe Experience Cloud."
2319,Applied Scientist 5.5,Adobe,Bangalore,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Bangalore/Applied-Scientist-55_R169437,,1,"Role title: Senior Machine Learning Engineer  
Company: Adobe  
Domain/Industry: Technology, AI  

Required technical skills and tools: Expert-level Python, strong proficiency in PyTorch, knowledge of score-based and diffusion models, computer vision fundamentals (CNNs, ViTs), distributed training frameworks (DDP, FSDP, DeepSpeed), MLOps tooling (Weights & Biases, MLflow, DVC).  

Years of experience required: 15+ years  

Key responsibilities: Design, train, and fine-tune large-scale diffusion models for image, video, and multimodal generation tasks. Build production-grade pipelines for image/video understanding and optimize models for inference while owning the full ML lifecycle from data curation to deployment.  

Preferred/bonus qualifications: Experience with flow-based generative models, video generation models, 3D generative models, multimodal systems, and RLHF/DPO for generative model alignment. Active contributions to open-source projects and a strong GitHub presence are also preferred."
2320,Senior Partner Sales Account Manager - Global System Integrator,Adobe,Remote Germany,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Remote-Germany/Senior-Partner-Sales-Account-Manager---Global-System-Integrator_R166236-1,,1,"Senior Partner Sales Account Manager - Global System Integrator at Adobe, Remote Germany. Required skills include extensive experience in enterprise sales and strategic partnerships, particularly with Global System Integrators or major consulting firms, and strong commercial acumen. A proven track record of delivering results through large, complex partners is essential. The role requires several years of experience in the German market and across multiple countries or regions. Key responsibilities include acting as the primary relationship owner for a global systems integrator, developing Joint Business Plans, and driving go-to-market impact through collaboration with various teams. Preferred qualifications include a bachelor’s degree, with a master’s degree or equivalent professional experience being a bonus."
2321,"Senior Manager, Cyber Incident Response Team",Adobe,Lehi,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Lehi/Senior-Cyber-Security-Incident-Response-Team--CSIRT--Manager_R168955,,1,"Senior Manager, Cyber Incident Response Team at Adobe in the cybersecurity industry. Required technical skills include expertise in incident response strategies, cyber threat investigations, and familiarity with automation and threat intelligence tools. Candidates should have 8+ years of experience in cybersecurity, with at least 5 years leading incident response efforts in large organizations. Key responsibilities involve defining and implementing operational plans, leading technical investigations, assessing incident handling performance, and mentoring response teams. Preferred qualifications include strong communication skills for conveying complex technical details to various stakeholders and a collaborative approach to work with multi-functional teams."
2322,Product Security Engineer 3,Adobe,Bangalore,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Bangalore/Product-Security-Engineer-3_R169432,,1,"Product Security Engineer 3 at Adobe in the software industry requires 4+ years of experience in penetration testing and DevSecOps. Key technical skills include penetration testing across web applications, APIs, mobile apps, and cloud environments, with a strong understanding of AI/ML security and vulnerabilities. Proficiency in integrating security tooling (SAST, DAST, SCA, secrets scanning, container/image scanning) into CI/CD pipelines is essential. The role involves conducting penetration tests, identifying and exploiting vulnerabilities, embedding security controls into CI/CD pipelines, and developing automation scripts using Python, Go, or PowerShell. Preferred qualifications include a Master's degree in IT or Computer Science, relevant security certifications (e.g., OSCP, OSWE), and experience in AI/ML security research and advanced exploitation techniques."
2323,Senior Applied Researcher,Adobe,San Jose,,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/San-Jose/Senior-Applied-Researcher_R168976-1,,1,"Senior Applied Researcher at Adobe in the technology industry. Required technical skills include strong programming proficiency and experience with ML frameworks such as PyTorch, TensorFlow, or JAX, as well as knowledge of modern ML architectures like transformers, diffusion models, or GANs. Candidates should have 5+ years of industry experience in machine learning and product development related to AI. Key responsibilities involve building innovative machine learning models for Adobe Express, developing and deploying advanced ML models in computer vision, NLP, and multimodal learning, and driving the end-to-end ML lifecycle from experimentation to production deployment. Preferred qualifications include experience with Large Language Models, familiarity with agent-based systems, and publications in renowned ML/CV/AI conferences."
